payment_id,order_id,method,status,amount,currency,fee,tax,net_amount,created_at,captured_at,merchant_name,customer_email,rrn,settlement_id,notes
pay_3eAfho79kBXtet,order_bYjWL0gDME2Phk,upi,captured,70.62,INR,1.55,0.28,68.79,2026-08-20 09:34:42,2026-08-20 09:34:44,Urban Company Ltd,dabstezz@example.com,601648377247,setl_D3iAJboBpPlfaW,
pay_5fmxk8Ts6aL8kN,order_EudUnZlkoi2uFv,netbanking,captured,"4,556.68",INR,113.28,20.39,₹4423.01,2026-08-16 22:17:37,2026-08-16 22:17:39,DELIGHTFUL GOURMET,rmnouvks@example.com,298267477234,setl_DILBsF3HbLggkG,
pay_xFH4X5qb479TDI,order_h7sQyMtj4eTdog,card,captured,4999.00,INR,121.01,21.78,₹4856.21,2026-08-15 19:51:20,,FLIPKART INTERNET,ltbjljzq@example.com,,setl_fY0YiBA4vEMkNz,
pay_HHzwAzqYRAdvc3,order_rvAnpTYRK7L4sM,card,captured,488811.15,INR,₹11657.53,"2,098.35",475055.27,2026-08-20 09:39:13,,INNOVATIVE RETAIL CONCEPTS,xgftkkhd@example.com,479032626542,setl_QHVsjpWUJmb2mX,
pay_yspxcLTfcayms6,order_gL8ACb44nZpCZx,card,captured,₹182.84,INR,,,,2026-08-16 15:44:24,,FSN E-COMMERCE,igspapxk@example.com,171837834816,setl_YOJdCQUJpIlOIM,
,,upi,captured,4999.00,INR,₹109.85,₹19.77,"4,869.38",2026-08-11 15:56:35,,URBAN COMPANY,,,,
pay_3rmAbKWtLQyP53,order_796CSyn8LmCb2v,card,captured,599.00,INR,₹14.23,₹2.56,₹582.21,2026-07-23 22:03:06,2026-07-23 22:03:08,INNOVATIVE RETAIL CONCEPTS,tbuikcgt@example.com,308320926270,setl_csSJdCXALfy4Ha,
pay_vDvsxliL6Z1wmu,order_VPoW1kohdEeoLr,card,captured,"1,577.84",INR,38.97,7.01,"1,531.86",2026-07-24 19:26:40,2026-07-24 19:26:42,URBAN COMPANY,,298161818736,setl_T8hJKZYNYAF8kl,
pay_ODYuAfzP6E6kZ4,order_6qpRlNpBEk9H6y,upi,captured,487.85,INR,11.97,₹2.16,473.72,2026-08-15 15:03:06,2026-08-15 15:03:08,MYNTRA DESIGNS,,607035239983,setl_IjtnllIQQ2R0Pu,
pay_55nSs49Mns4Lgq,,card,refunded,₹69.86,INR,1.75,0.31,67.80,2026-08-09 16:46:07,2026-08-09 16:46:09,DELIGHTFUL GOURMET,tsewpnlk@example.com,834459436913,setl_5CMYQlhz0EAnqN,
pay_J5yaACSC0QxhKw,,upi,captured,₹999.0,INR,24.91,₹4.48,969.61,2026-08-16 00:44:12,2026-08-16 00:44:14,DELIGHTFUL GOURMET,fiekkmyc@example.com,284753378751,setl_aIALmlDHbuDUKQ,
pay_TqwKiteIfx2rNi,order_Z2hngQIdUrQyeG,upi,captured,133.05,INR,3.31,0.60,129.14,2026-07-26 09:08:44,2026-07-26 09:08:46,THREPSI SOLUTIONS,,581512304175,setl_fe5l97cYXG7OkO,
pay_CicipLqoQ5mRgx,order_k5Z30rPfvVKGba,upi,captured,235.03,INR,₹5.42,₹0.97,₹228.64,2026-08-03 09:48:34,2026-08-03 09:48:36,FSN E-COMMERCE,,,,
pay_XzAtXRYXGL5g4R,order_892XCwcP3YFRDX,card,failed,109.77,INR,0.00,0.00,₹0.0,2026-08-10 06:10:32,,DELIGHTFUL GOURMET,,,,Payment declined by issuer
pay_VoFBJ6adbwWQAr,order_BmF2Y1i1XQB1m1,upi,captured,₹449.0,INR,9.18,1.65,438.17,2026-08-19 19:19:33,2026-08-19 19:19:35,INNOVATIVE RETAIL CONCEPTS,,209289297906,setl_FLbuTIRaD21Y5c,
pay_n4XAcLmDGhsFQA,order_J00fOzd8PW3Wis,upi,captured,"5,999.00",INR,133.13,23.96,₹5841.91,2026-08-05 15:00:11,2026-08-05 15:00:13,BUNDL TECHNOLOGIES,xwtsvivh@example.com,347961038898,setl_RuBnbqXqwWZyr4,
pay_i6IFQxzdqOiRFh,order_q26LLcIay1VmXQ,netbanking,captured,399.00,INR,₹8.97,₹1.61,388.42,2026-08-07 11:45:29,2026-08-07 11:45:31,SUPERMARKET GROCERY,,978920315451,setl_0EyvqGxaV5uwcp,
pay_PQXpxXXucPjGbC,order_YLVd07jj2NQwbX,upi,captured,5999.00,INR,129.55,23.32,5846.13,2026-08-14 21:23:51,,MAKEMYTRIP INDIA,znjrinyi@example.com,580146235479,setl_Vh3O72ZneaDmFo,
pay_tJLdBvhhkbqCHI,order_5VEqFceqTKx3Xa,upi,captured,3499.00,INR,,,,2026-08-03 22:20:21,2026-08-03 22:20:23,BIGTREE ENTERTAINMENT,,576007055792,setl_0uppRnfYjM3OLy,
pay_Jf4PoOrzFJhN1c,order_0kcO1Zpnw1Gzpj,netbanking,captured,147.18,INR,3.06,0.55,143.57,2026-08-17 06:13:08,2026-08-17 06:13:10,BIGTREE ENTERTAINMENT,,195991892882,setl_1LRN59zb2yULJ3,
pay_35HRU8KFwismxv,order_TWjDjbLlkwyM3q,wallet,failed,32695.15,INR,0.00,0.00,₹0.0,2026-08-13 17:23:57,,MYNTRA DESIGNS,,,,Payment declined by issuer
pay_8IqKeeYMkZABex,,upi,authorized,14032.75,INR,0.00,0.00,0.00,2026-08-19 22:27:19,,CUREFIT HEALTHCARE,,,,
pay_ItwuEAew7lACXA,order_4yLek4RDkARe7A,card,captured,₹4167.32,INR,,,,2026-08-18 10:43:53,2026-08-18 10:43:55,ZOMATO LIMITED,,145854432856,setl_iMjlhfsD27XlbG,
pay_Sug0B3hZbr4TlJ,order_V5hkJGrxFsRTVi,netbanking,captured,17292.28,INR,385.97,69.48,"16,836.83",2026-07-27 08:24:33,2026-07-27 08:24:35,PHARMEASY,ulabocgd@example.com,261155492246,setl_rKg8nGwlunnsuY,
,,upi,captured,4999.00,INR,112.55,₹20.26,4866.19,2026-08-11 08:21:52,,URBAN COMPANY,,,,
pay_HGmWr0UBKZ8Mwk,order_v7AMP9pbonYPyF,wallet,captured,164.54,INR,₹3.49,0.63,160.42,2026-07-22 06:49:50,,INNOVATIVE RETAIL CONCEPTS,,974525717625,setl_qRhPMY8e56HAYC,
pay_XGoaIWnuthCJxQ,order_qqWcgZqX3fli8Z,wallet,captured,84.90,INR,,,,2026-07-23 21:16:19,2026-07-23 21:16:21,INNOVATIVE RETAIL CONCEPTS,,378249369293,setl_nDWIRtM2pxcDUV,
pay_rY3rdHHdtsd3jy,order_Fgsfdue0ZBlYuj,upi,captured,₹1199.0,INR,,,,2026-07-29 10:28:59,2026-07-29 10:29:01,BIGTREE ENTERTAINMENT,,406107150615,setl_1Rny5ynqvIuaf6,
pay_B4gxgFEwugQoqZ,order_gADIT6X93xnadG,upi,captured,14999.00,INR,350.86,63.15,14584.99,2026-08-07 15:41:03,2026-08-07 15:41:05,CULT FIT,,318269481887,setl_c8sPfiGPd3tAI1,
pay_RSd3GVvDTC81pr,order_CvXzL2vdRvProR,upi,refunded,"3,670.68",INR,,,,2026-08-11 22:59:35,2026-08-11 22:59:37,BUNDL TECHNOLOGIES,kfcyuctw@example.com,786116785051,setl_h1WS4dGmmS93JQ,
pay_lsHGgie64D9nce,order_mV8NWnCCbB0RZp,upi,captured,185.49,INR,4.28,0.77,180.44,2026-08-08 16:48:07,,BIGTREE ENTERTAINMENT,,164789300149,setl_PlX3wp1IheZvoA,
pay_FMlwFex9GmLrlD,order_0qVR9tvazIlpEL,card,failed,"43,470.29",INR,0.00,0.00,0.00,2026-08-15 09:13:27,,ZOMATO LIMITED,,,,Payment declined by issuer
pay_vsIHLGlTYVUf7H,order_OMtEXirhH7nEiN,upi,captured,97175.57,INR,,,,2026-07-26 18:49:51,2026-07-26 18:49:53,BIGTREE ENTERTAINMENT,lrjjhrbp@example.com,414627795935,setl_XVI3RgjFCsUPjs,
pay_xLfIyh8z0hYZvt,order_TrqjmOVlxFvfiP,wallet,captured,186.96,INR,₹4.22,0.76,181.98,2026-08-18 18:27:30,2026-08-18 18:27:32,FLIPKART INTERNET,jaenphkw@example.com,527018738336,setl_NNCgD08gBlbzvh,
pay_ACb4D2Q0yPpzAy,order_iucQYm7rRaVSvO,wallet,captured,449.00,INR,9.80,1.76,437.44,2026-08-13 10:21:32,2026-08-13 10:21:34,AMAZON RETAIL,xcgygbsg@example.com,605191074864,setl_PxZTFGJzu39KIy,
pay_vkPwbNeQ2zLcon,order_FZEQZVnyKeCbvk,netbanking,captured,28.12,INR,0.57,₹0.1,₹27.45,2026-07-26 06:25:27,2026-07-26 06:25:29,LENSKART SOLUTIONS,qhjmyrmq@example.com,177526365644,setl_AAVCo3Jxe9QD6j,
pay_5PKuK7wajpbe2f,order_nmS1LvxC0ed5mJ,upi,captured,7999.00,INR,187.50,33.75,7777.75,2026-07-25 11:09:12,2026-07-25 11:09:14,INNOVATIVE RETAIL CONCEPTS,tllkyath@example.com,642310742298,setl_DERyvCjolAHwvs,
pay_da1DFU3xwduL7j,order_FzLf48GQ2ehxZR,upi,captured,₹899.0,INR,,,,2026-07-29 22:23:08,2026-07-29 22:23:10,DELIGHTFUL GOURMET,bdjujnuf@example.com,794103699168,setl_ePBxVfTcOlIhE2,
pay_fDd4UJZbXWbz6N,order_8ZgTOaxtpIubsg,upi,captured,₹4672.18,INR,96.87,17.44,4557.87,2026-07-28 17:06:48,2026-07-28 17:06:50,THREPSI SOLUTIONS,fusbvanq@example.com,320431737620,setl_vb6znLflPGUPvA,
pay_GpRo1j69U1Bswj,order_NXL3CEGF66ddCy,card,captured,12999.00,INR,,,,2026-08-09 13:15:12,2026-08-09 13:15:14,FSN E-COMMERCE,apwyvegd@example.com,423959485660,,
pay_q5gAXV9SnEeQJy,order_rISF75UJuRB9pI,upi,captured,2499.00,INR,62.09,11.18,2425.73,2026-08-20 16:22:17,2026-08-20 16:22:19,BIGTREE ENTERTAINMENT,ksnqbkbf@example.com,,setl_3AISqZkPwifhuz,
pay_fizq4YoNK4uLML,order_em3e3DZ8gQnAmc,wallet,authorized,"11,365.58",INR,0.00,₹0.0,₹0.0,2026-08-06 16:30:27,,BUNDL TECHNOLOGIES,,,,
pay_Hv37aMlwFAd2PY,order_12q8E1KO4ym4A8,netbanking,captured,"8,494.99",INR,₹191.97,₹34.56,8268.46,2026-08-15 14:44:24,2026-08-15 14:44:26,MAKEMYTRIP INDIA,owsnijds@example.com,786632757988,setl_TKLNGDJQbFZGDO,
pay_vkPwbNeQ2zLcon,order_FZEQZVnyKeCbvk,netbanking,captured,₹28.12,INR,₹0.57,0.10,27.45,2026-07-26 06:25:30,2026-07-26 06:25:29,LENSKART SOLUTIONS,qhjmyrmq@example.com,177526365644,setl_AAVCo3Jxe9QD6j,
pay_XbPUpmLNluDSYv,order_GNUKc89SEPqwr5,card,captured,399.00,INR,9.88,1.78,387.34,2026-08-19 06:20:16,2026-08-19 06:20:18,MAKEMYTRIP INDIA,pdgzrmtg@example.com,494781272476,setl_7zbk054vcLajqT,
pay_rWHdov8AHsgZFo,order_j48PFpzGoMX8Kj,netbanking,captured,"19,724.25",INR,₹394.83,71.07,19258.35,2026-07-22 08:20:48,2026-07-22 08:20:50,AMAZON RETAIL,rlezmvzc@example.com,986430951929,setl_BFHQHhb9FTKniJ,
pay_MM0LTZunDhpjDk,order_gNVcg4vYjiOU8X,netbanking,captured,"3,50,496.69",INR,7579.14,1364.24,341553.31,2026-08-09 16:35:49,2026-08-09 16:35:51,BUNDL TECHNOLOGIES,dbjibuki@example.com,162771381342,setl_rtABxNGV4VUjvb,
pay_3qwfeLDfFKtx14,order_KfKllPRMhfWnZ6,card,captured,"4,232.23",INR,,,,2026-07-24 21:13:48,2026-07-24 21:13:50,BIGTREE ENTERTAINMENT,,205430308730,setl_m9MgJyz0qX6vkx,
pay_lg9Nh8ZyAgmLdo,order_pkXxbBhkC9gFTn,upi,captured,5999.00,INR,134.53,24.22,5840.25,2026-07-22 10:32:51,2026-07-22 10:32:53,MYNTRA DESIGNS,imvnnrrf@example.com,452597138568,setl_BOfUM59p8eIBvT,
pay_aCfxQlrNZi5csV,order_oq17DGyVotMOy9,card,captured,3820.74,INR,78.87,₹14.2,₹3727.67,2026-07-24 11:56:47,2026-07-24 11:56:49,MAKEMYTRIP INDIA,yfrcmchg@example.com,523013502355,setl_OsBuvypWesbHtd,
pay_dONrGbxGUV30YP,order_EOcXBSorf7aQKE,netbanking,captured,999.00,INR,23.45,4.22,971.33,2026-08-17 07:12:51,2026-08-17 07:12:53,LENSKART SOLUTIONS,tililfsm@example.com,422623382534,setl_VpvDxevpw7XztW,
pay_bBZODILfvgDWIg,order_YwYtlSY2S6a3c8,card,captured,"3,15,180.24",INR,₹7135.9,"1,284.46","3,06,759.88",2026-08-13 14:29:31,2026-08-13 14:29:33,INNOVATIVE RETAIL CONCEPTS,,620459123953,setl_GbG5PfvYhTRo0G,
pay_Pidj1fSMhsl9uB,order_foiIaEXg3NPbWG,card,captured,"1,999.00",INR,49.47,8.90,"1,940.63",2026-07-22 11:43:55,,URBAN COMPANY,,811387225534,setl_a2W7RebN8SY0qc,
pay_Bc49nWVteQrvl3,order_uDNAc3PyTeChoT,card,refunded,₹9999.0,INR,₹233.87,₹42.1,"9,723.03",2026-07-25 20:26:00,2026-07-25 20:26:02,ZOMATO LIMITED,,,setl_07SrNWgGeG7Yu0,
pay_ObxZ8KBSiLHW7L,order_1shexAYTwkLfzC,netbanking,captured,249.00,INR,,,,2026-08-11 11:34:56,2026-08-11 11:34:58,FLIPKART INTERNET,mlyhxumb@example.com,382095585932,setl_1O0AcsWeRCumsy,
pay_mbNnwxOfcaZFHa,order_95TUau3mnkoKPf,netbanking,captured,130.07,INR,2.81,0.50,₹126.76,2026-08-19 14:33:33,2026-08-19 14:33:35,LENSKART SOLUTIONS,vtilubqy@example.com,991894710869,setl_hM9XVBm9tiZX3s,
pay_2uvytXmOfBpQJf,,netbanking,failed,5889.87,INR,₹0.0,0.00,0.00,2026-08-16 12:19:30,,THREPSI SOLUTIONS,,,,Payment declined by issuer
pay_3tSdCskjHBbF6K,order_ZLMyH4D6WnVD5o,card,captured,2767.25,INR,₹60.9,₹10.96,"2,695.39",2026-07-29 17:58:58,2026-07-29 17:59:00,LENSKART SOLUTIONS,wzsfdqvv@example.com,770095264897,setl_uqhNkb5azC6w7B,
,,wallet,captured,499.00,INR,10.62,1.91,486.47,2026-07-22 10:40:25,,DELIGHTFUL GOURMET,,,,
pay_ZM2gqNpdbbCZWF,order_SPC5q1VkhsDFcC,card,captured,"1,499.00",INR,,,,2026-08-02 22:49:57,2026-08-02 22:49:59,BUNDL TECHNOLOGIES,vjwhvdgm@example.com,190693114804,setl_bqoSR3YvjcrnPR,
pay_92kdSUskGQRaVJ,order_NKWZVU66MpuBeo,card,captured,154.77,INR,3.29,0.59,150.89,2026-08-13 19:24:52,2026-08-13 19:24:54,ZOMATO LIMITED,fnpsiykp@example.com,,setl_eKe2DVZK08XkcQ,
pay_I8MJtJZCCixHnk,order_n1kqbEwmqSPcNY,upi,captured,12999.00,INR,270.63,₹48.71,"12,679.66",2026-08-02 14:44:51,2026-08-02 14:44:53,BIGTREE ENTERTAINMENT,,705612127743,setl_pDcG55a2v6MBbP,
pay_HvWAgD1f1h4C9Y,order_W8kotwTOMkVYLD,wallet,failed,"47,144.93",INR,0.00,0.00,0.00,2026-08-16 16:33:35,,INNOVATIVE RETAIL CONCEPTS,,,,Payment declined by issuer
pay_C0CjVGYvTyJv5t,order_Df9vA5eh3oFWfo,card,captured,₹13793.23,INR,334.03,₹60.12,"13,399.08",2026-07-25 09:14:07,2026-07-25 09:14:09,INNOVATIVE RETAIL CONCEPTS,,147730015898,setl_DQLTC8ibVmGp73,
pay_v1bHwR0BpAVMdJ,order_MsWCuAEjmls4qq,netbanking,captured,190.01,INR,4.08,0.74,185.19,2026-08-05 22:59:39,2026-08-05 22:59:41,CUREFIT HEALTHCARE,,959774212968,setl_OvdcwxrGRyohp0,
pay_1T68vsuIRDOaT3,order_1Bk2NfPK0c2zrY,upi,refunded,"1,999.00",INR,44.53,8.02,"1,946.45",2026-08-10 22:50:53,2026-08-10 22:50:55,BUNDL TECHNOLOGIES,,,setl_m0O62lz82EdNwU,
pay_gaHdOcGEGrdDVV,order_tI3B6mMwOiady9,card,captured,1536.00,INR,₹33.36,6.01,"1,496.63",2026-08-09 19:28:55,2026-08-09 19:28:57,ZOMATO LIMITED,cdpftbct@example.com,394927881305,setl_PePUnTwHUVgflT,
pay_KDtDWhCJBrMUtU,,card,captured,"1,085.31",INR,₹25.98,4.68,1054.65,2026-08-02 16:41:53,,URBAN COMPANY,,952979797667,setl_ssAXB7dTKtC7my,
pay_hmK64TO45dX9Sx,order_nzeaSJ1gR9wjNX,card,captured,₹2873.59,INR,,,,2026-07-29 18:37:19,,LENSKART SOLUTIONS,xjyexbqv@example.com,,,
pay_I11qVBx4yedYi9,order_CzCIvNdNQRRH65,upi,captured,₹14999.0,INR,324.31,58.37,₹14616.32,2026-08-03 11:13:36,2026-08-03 11:13:38,THREPSI SOLUTIONS,tyfpjgcn@example.com,502894705279,setl_pICZmf6wY3v0kz,
pay_fPseJuvstP05CT,order_rULXQdkdauqD2j,card,captured,₹99.2,INR,₹2.09,0.38,₹96.73,2026-08-07 06:09:41,2026-08-07 06:09:43,DELIGHTFUL GOURMET,cyuxvlfs@example.com,126130748887,setl_N1t8dcRIkLJeKR,
pay_Q47ZbxXeHlDNl9,order_K36UqTW2z3AwQI,card,captured,199.00,INR,4.65,₹0.84,193.51,2026-07-29 20:40:29,2026-07-29 20:40:31,AMAZON RETAIL,gmipeiih@example.com,550881789518,setl_O9OdMoJRKVGsSy,
pay_wJrq6tJ6zAbqmh,order_RakAbuQsbCfXdB,card,captured,₹599.0,INR,13.36,2.41,583.23,2026-08-12 21:34:48,2026-08-12 21:34:50,LENSKART COM,chztueiw@example.com,187871744988,setl_9hu3Go6cQopVZU,
pay_kmrQ4SVeVN8c2t,,upi,authorized,"31,233.64",INR,0.00,0.00,0.00,2026-08-17 13:05:18,,FSN E-COMMERCE,,,,
pay_NHBr2HsGiEDE5I,order_DNYjfCeBrgHIpT,upi,captured,₹749.0,INR,16.03,2.89,730.08,2026-07-30 18:59:05,2026-07-30 18:59:07,MAKEMYTRIP INDIA,,220756005369,setl_1pz0f2SOdb3ps5,
pay_K2OHbrMy1jFmbl,order_ULXwrx2kxl34vn,card,captured,15468.27,INR,360.08,₹64.81,15043.38,2026-08-09 21:38:49,2026-08-09 21:38:51,MYNTRA DESIGNS,pfuqivfx@example.com,718626249547,,
pay_gNHz6RH2mGSVvc,order_3MeeSuifgwHzrF,upi,captured,₹14999.0,INR,306.58,55.18,"14,637.24",2026-08-08 16:48:08,2026-08-08 16:48:10,Zomato Limited,,323749844118,setl_8SvyDQ3C0dkQlv,
pay_hrSFpMldFZXld4,order_pBZY5qJzjOjk1r,upi,captured,"3,999.00",INR,,,,2026-07-25 18:12:27,2026-07-25 18:12:29,FLIPKART INTERNET,exgzyags@example.com,848006224623,setl_BNk7lK2aazVEXK,
pay_nqvm1lsUERAOpq,order_8CWNk6eet1IUtT,upi,captured,107.21,INR,,,,2026-08-06 19:36:56,2026-08-06 19:36:58,BIGTREE ENTERTAINMENT,,862575581977,setl_L0ER76SzmqfNi2,
pay_Chn99YkpBNPQuH,order_bSNo9AuldetmZ1,upi,captured,794.24,INR,15.92,2.87,775.45,2026-07-29 09:02:09,2026-07-29 09:02:11,AMAZON RETAIL,dzhuctxs@example.com,,setl_Mt9eumdqarnKxZ,
pay_SIaew4O06RjLgC,order_285upAB1Re0HzW,upi,captured,38.15,INR,0.92,0.16,37.07,2026-08-12 10:15:30,2026-08-12 10:15:32,MYNTRA DESIGNS,djururpu@example.com,533049832245,setl_QXFHDIBw8ivwdf,
pay_9aHhKO0JE3PDkU,order_GRyGpJ1ZumJgTr,card,captured,"1,487.94",INR,33.79,6.08,"1,448.07",2026-08-11 15:56:58,2026-08-11 15:57:00,ZOMATO LIMITED,qdcqxfgl@example.com,979132406478,setl_NrvKAGYZRQCrsT,
pay_3hFmYebDqL2U0v,order_GHGWINqmJ9hodK,upi,captured,₹2499.0,INR,61.64,₹11.09,2426.27,2026-08-12 00:51:09,2026-08-12 00:51:11,MYNTRA DESIGNS,rbbwfisw@example.com,432858340124,,
pay_XfcjZEjm0PDIlD,order_LnqH1BUEMkXsKB,upi,captured,₹4952.04,INR,,,,2026-08-15 00:52:03,,BIGTREE ENTERTAINMENT,frzbtuim@example.com,187306895341,setl_SFj1ETAFU0jeDC,
pay_rPDDqUn13h1I7S,order_jOcCJOIQ6RpZYG,upi,captured,463568.51,INR,9780.46,1760.48,₹452027.57,2026-07-26 06:21:59,,THREPSI SOLUTIONS,,318343530408,setl_pIdeX1jfCrcbhq,
pay_RI3DfJF5I1hloE,order_RaWaDyajfA5yBV,netbanking,captured,₹5999.0,INR,142.21,25.60,"5,831.19",2026-08-10 16:24:03,2026-08-10 16:24:05,BUNDL TECHNOLOGIES,,999612504387,setl_c28ERLB0srY5kK,
,,wallet,captured,499.00,INR,11.87,₹2.14,484.99,2026-07-22 22:08:48,,DELIGHTFUL GOURMET,,,,
pay_vVMFYg73HiFfB2,order_qyPetJixbylYMy,upi,captured,₹161138.78,INR,,,,2026-08-20 10:48:37,2026-08-20 10:48:39,LENSKART SOLUTIONS,nbjvigsv@example.com,193006170595,setl_AGXdEGogyEDBiT,
pay_03fK9ERt526DXg,order_87cCl0a0XB1fbJ,upi,captured,499.00,INR,,,,2026-08-08 07:46:54,2026-08-08 07:46:56,BIGTREE ENTERTAINMENT,,931686220287,setl_3XRhEYvmQ9JUmq,
pay_wF2Ad7D1uYcgvd,order_o6p6HTqGbdlTKQ,card,captured,"3,116.48",INR,64.86,₹11.67,3039.95,2026-08-04 07:10:16,2026-08-04 07:10:18,BUNDL TECHNOLOGIES,ulrmxmmr@example.com,431465104866,,
pay_lJMhvc918Mpm2w,order_hJnSFHxO9Sbsmu,card,captured,699.00,INR,16.92,₹3.04,₹679.04,2026-07-25 13:03:55,,AMAZON RETAIL,fzobxdgt@example.com,143624573997,setl_yUFT1RFdC0wecu,
pay_iZr90cMLXyoZKW,order_Pm5RS2taULR2Y0,upi,captured,₹1999.0,INR,43.13,7.76,"1,948.11",2026-07-24 11:40:30,,BUNDL TECHNOLOGIES,,,setl_7rsRUhVO6bQ3Vb,
pay_nZ6w08QaMotF6q,,upi,captured,699.00,INR,,,,2026-08-08 13:04:41,2026-08-08 13:04:43,AMAZON RETAIL,hgzyypfz@example.com,602740250937,,
pay_7wUtjMZDJtgW2v,order_ktOwv5VDe0LlNq,upi,captured,111787.44,INR,,,,2026-07-24 09:51:28,2026-07-24 09:51:30,INNOVATIVE RETAIL CONCEPTS,,246392325186,setl_FnLAhoZFPM7rV5,
pay_rKFmftN245uOyP,order_K6qaNF37CzomJ0,card,captured,124339.16,INR,3034.19,₹546.16,₹120758.81,2026-07-30 16:05:28,2026-07-30 16:05:30,THREPSI SOLUTIONS,,911024877036,setl_yGDm7sjOcSaMvT,
